|6.6.6
thermo_course/Nathalite_1.tab                                                                       
           1
 X(C1)  
   0.0000000000000000     
   0.0000000000000000     
         300
           4
X(C1)          T(K)           Nath(LMV)      Nath(LMV)     
 0.500000        933.000        48.7067        51.2933     
 0.500000        939.531        48.7068        51.2932     
 0.500000        946.061        48.7069        51.2931     
 0.500000        952.592        48.5803        51.4197     
 0.500000        959.122        48.5804        51.4196     
 0.500000        965.653        48.5804        51.4196     
 0.500000        972.184        48.4279        51.5721     
 0.500000        978.714        48.4280        51.5720     
 0.500000        985.245        48.4280        51.5720     
 0.500000        991.776        48.2432        51.7568     
 0.500000        998.306        48.2432        51.7568     
 0.500000        1004.84        48.2433        51.7567     
 0.500000        1011.37        48.0166        51.9834     
 0.500000        1017.90        48.0167        51.9833     
 0.500000        1024.43        48.0167        51.9833     
 0.500000        1030.96        47.7103        52.2897     
 0.500000        1037.49        47.7104        52.2896     
 0.500000        1044.02        47.7104        52.2896     
 0.500000        1050.55        47.7105        52.2895     
 0.500000        1057.08        47.2853        52.7147     
 0.500000        1063.61        47.2854        52.7146     
 0.500000        1070.14        47.2854        52.7146     
 0.500000        1076.67        46.6256        53.3744     
 0.500000        1083.20        46.6256        53.3744     
 0.500000        1089.73        46.6256        53.3744     
 0.500000        1096.27        45.3295        54.6705     
 0.500000        1102.80        45.3296        54.6704     
 0.500000        1109.33        45.3296        54.6704     
 0.500000        1115.86        39.4097        60.5903     
 0.500000        1122.39        39.4097        60.5903     
 0.500000        1128.92        100.000                 NaN
 0.500000        1135.45        100.000                 NaN
 0.500000        1141.98        100.000                 NaN
 0.500000        1148.51        100.000                 NaN
 0.500000        1155.04        100.000                 NaN
 0.500000        1161.57        100.000                 NaN
 0.500000        1168.10        100.000                 NaN
 0.500000        1174.63        100.000                 NaN
 0.500000        1181.16        100.000                 NaN
 0.500000        1187.69        100.000                 NaN
 0.500000        1194.22        100.000                 NaN
 0.500000        1200.76        100.000                 NaN
 0.500000        1207.29        100.000                 NaN
 0.500000        1213.82        100.000                 NaN
 0.500000        1220.35        100.000                 NaN
 0.500000        1226.88        100.000                 NaN
 0.500000        1233.41        100.000                 NaN
 0.500000        1239.94        100.000                 NaN
 0.500000        1246.47        100.000                 NaN
 0.500000        1253.00        100.000                 NaN
