|6.6.6
thermal expansion                                                                                   
           2
 T(K)    
   298.00000000000000     
   50.000000000000000     
          16
 P(bar)  
   1.0000000000000000     
   1.0000000000000000     
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv         
  298.0000       1.000000      -6502863.      -6414410.       1139.833       296.8234       350.9366       13.57425      0.3824074E-03  0.1210805E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  348.0000       1.000000      -6519150.      -6395925.       978.5083       354.0953       386.5098       13.59440      0.4217186E-03  0.1221765E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  398.0000       1.000000      -6538213.      -6375910.       858.0819       407.7978       412.9524       13.61632      0.4533665E-03  0.1233053E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  448.0000       1.000000      -6559870.      -6354724.       764.8389       457.9164       433.7218       13.63967      0.4795553E-03  0.1244644E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  498.0000       1.000000      -6583949.      -6332600.       690.5735       504.7183       450.7279       13.66423      0.5016933E-03  0.1256526E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  548.0000       1.000000      -6610293.      -6309695.       630.0759       548.5363       465.1067       13.68981      0.5207274E-03  0.1268688E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  598.0000       1.000000      -6638759.      -6286121.       579.8804       589.6957       477.5757       13.71629      0.5373210E-03  0.1281123E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  648.0000       1.000000      -6669223.      -6261961.       537.5922       628.4905       488.6105       13.74354      0.5519546E-03  0.1293829E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  698.0000       1.000000      -6701573.      -6237278.       501.5036       665.1786       498.5384       13.77148      0.5649859E-03  0.1306804E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  748.0000       1.000000      -6735709.      -6212122.       470.3644       699.9835       507.5925       13.80004      0.5766875E-03  0.1320046E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  798.0000       1.000000      -6771543.      -6186531.       443.2385       733.0982       515.9435       13.82916      0.5872710E-03  0.1333556E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  848.0000       1.000000      -6808994.      -6160537.       419.4110       764.6897       523.7191       13.85878      0.5969039E-03  0.1347336E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  898.0000       1.000000      -6847989.      -6134167.       398.3267       794.9024       531.0172       13.88886      0.6057203E-03  0.1361389E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  948.0000       1.000000      -6888463.      -6107442.       379.5480       823.8621       537.9141       13.91936      0.6138295E-03  0.1375717E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  998.0000       1.000000      -6930356.      -6080381.       362.7252       851.6786       544.4700       13.95026      0.6213211E-03  0.1390324E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1048.000       1.000000      -6973613.      -6053000.       347.5756       878.4483       550.7333       13.98151      0.6282698E-03  0.1405214E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
