|6.6.6
fo_moT                                                                                              
           2
 T(K)    
   298.14999999999998     
   50.000000000000000     
          28
 P(bar)  
   1.0000000000000000     
   1000.0000000000000     
          30
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv         
  298.1500       1.000000      -2053138.      -2024784.       359.6964       95.10000       118.6714       4.365778      0.1125602E-03  0.3489297E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  348.1500       1.000000      -2058379.      -2018590.       308.8244       114.2859       128.6338       4.371714      0.1242886E-03  0.3520444E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  398.1500       1.000000      -2064543.      -2011957.       270.8507       132.0762       136.3840       4.378178      0.1338059E-03  0.3552494E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  448.1500       1.000000      -2071565.      -2004976.       241.4504       148.5855       142.6429       4.385076      0.1417530E-03  0.3585391E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  498.1500       1.000000      -2079383.      -1997710.       218.0354       163.9513       147.8404       4.392341      0.1485388E-03  0.3619099E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  548.1500       1.000000      -2087943.      -1990205.       198.9628       178.3049       152.2507       4.399923      0.1544375E-03  0.3653595E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  598.1500       1.000000      -2097198.      -1982495.       183.1395       191.7629       156.0579       4.407781      0.1596413E-03  0.3688865E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  648.1500       1.000000      -2107106.      -1974607.       169.8101       204.4261       159.3908       4.415885      0.1642888E-03  0.3724901E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  698.1500       1.000000      -2117629.      -1966563.       158.4360       216.3812       162.3427       4.424210      0.1684833E-03  0.3761699E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  748.1500       1.000000      -2128734.      -1958378.       148.6228       227.7022       164.9829       4.432735      0.1723030E-03  0.3799260E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  798.1500       1.000000      -2140390.      -1950069.       140.0752       238.4529       167.3642       4.441443      0.1758090E-03  0.3837589E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  848.1500       1.000000      -2152570.      -1941646.       132.5676       248.6882       169.5277       4.450320      0.1790491E-03  0.3876691E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  898.1500       1.000000      -2165251.      -1933119.       125.9250       258.4556       171.5058       4.459352      0.1820619E-03  0.3916575E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  948.1500       1.000000      -2178409.      -1924498.       120.0094       267.7966       173.3247       4.468531      0.1848785E-03  0.3957251E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  998.1500       1.000000      -2192024.      -1915789.       114.7103       276.7472       175.0053       4.477846      0.1875245E-03  0.3998731E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1048.150       1.000000      -2206078.      -1906999.       109.9386       285.3395       176.5652       4.487289      0.1900213E-03  0.4041027E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1098.150       1.000000      -2220553.      -1898134.       105.6214       293.6015       178.0189       4.496854      0.1923865E-03  0.4084155E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1148.150       1.000000      -2235433.      -1889199.       101.6988       301.5581       179.3785       4.506535      0.1946352E-03  0.4128129E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1198.150       1.000000      -2250704.      -1880198.       98.12052       309.2317       180.6542       4.516325      0.1967803E-03  0.4172968E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1248.150       1.000000      -2266352.      -1871135.       94.84473       316.6422       181.8549       4.526220      0.1988326E-03  0.4218689E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1298.150       1.000000      -2282364.      -1862013.       91.83595       323.8073       182.9881       4.536216      0.2008015E-03  0.4265311E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1348.150       1.000000      -2298728.      -1852837.       89.06400       330.7433       184.0602       4.546308      0.2026954E-03  0.4312855E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1398.150       1.000000      -2315434.      -1843608.       86.50306       337.4647       185.0771       4.556493      0.2045213E-03  0.4361342E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1448.150       1.000000      -2332472.      -1834330.       84.13090       343.9848       186.0435       4.566768      0.2062855E-03  0.4410795E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1498.150       1.000000      -2349830.      -1825005.       81.92828       350.3156       186.9640       4.577130      0.2079935E-03  0.4461237E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
