T	P  
760.0	1
761.2	501
762.3	1001
763.4	1501
764.6	2001
765.7	2501
766.8	3001
767.9	3501
769.0	4001
770.2	4501
771.3	5001
772.4	5501
773.5	6001
774.6	6501
775.7	7001
776.8	7501
777.9	8001
779.0	8501
780.1	9001
781.1	9501
782.2	10000
783.3	10500
784.4	11000
785.5	11500
786.5	12000
787.6	12500
788.7	13000
789.7	13500
790.8	14000
791.8	14500
792.9	15000
794.0	15500
795.0	16000
796.1	16500
797.1	17000
798.2	17500
799.2	18000
800.2	18500
801.3	19000
802.3	19500
803.3	20000
804.4	20500
805.4	21000
806.4	21500
807.4	22000
808.5	22500
809.5	23000
810.5	23500
811.5	24000
812.5	24500
813.5	25000
814.5	25500
815.5	26000
816.5	26500
817.5	27000
818.5	27500
819.5	28000
820.5	28500
821.5	29000
822.5	29500
823.5	30000
824.5	30500
825.5	31000
826.5	31500
827.4	32000
828.4	32500
829.4	33000
830.4	33500
831.3	34000
832.3	34500
833.3	35000
834.2	35500
835.2	36000
836.1	36500
837.1	37000
838.1	37500
839.0	38000
840.0	38500
840.9	39000
841.9	39500
842.8	40000
843.7	40500
844.7	41000
845.6	41500
846.6	42000
847.5	42500
848.4	43000
849.4	43500
850.3	44000
851.2	44500
852.2	45000
853.1	45500
854.0	46000
854.9	46500
855.8	47000
856.8	47500
857.7	48000
858.6	48500
859.5	49000
860.4	49500
861.3	50000
861.3	50000
