T	P
1473	46320
1437	44960
1401	43620
1365	42310
1329	41030
1293	39770
1257	38550
1221	37350
1185	36180
1149	35030
1113	33930
1077	32850
1041	31810
1005	30800
969.0	29830
933.0	28900
897.0	28000
861.0	27150
825.0	26340
789.0	25570
753.0	24850
717.0	24180
681.0	23560
645.0	22990
609.0	22480
573.0	22030
537.0	21640
501.0	21320
465.0	21070
429.0	20890
393.0	20800
357.0	20800
321.0	20890
285.0	21090
1461	45860
1425	44510
1389	43180
1353	41880
1317	40610
1281	39360
1245	38140
1209	36950
1173	35790
1137	34660
1101	33560
1065	32500
1029	31470
993.0	30470
957.0	29510
921.0	28590
885.0	27710
849.0	26870
813.0	26080
777.0	25330
741.0	24620
705.0	23970
669.0	23370
633.0	22820
597.0	22330
561.0	21890
525.0	21530
489.0	21230
453.0	21000
417.0	20850
381.0	20790
345.0	20820
309.0	20940
273.0	21190
1449	45410
1413	44070
1377	42750
1341	41460
1305	40190
1269	38950
1233	37740
1197	36560
1161	35410
1125	34290
1089	33200
1053	32150
1017	31130
981.0	30150
945.0	29200
909.0	28300
873.0	27430
837.0	26600
801.0	25820
765.0	25090
729.0	24400
693.0	23760
657.0	23180
621.0	22650
585.0	22170
549.0	21760
513.0	21420
477.0	21140
441.0	20940
405.0	20820
369.0	20790
333.0	20850
297.0	21010
