      T(K)       ,menz_h(J/mol)       ,vic_h(J/mol)       ,rom_h(J/mol)       
298.1500,-5816534,-1545122,-2081731
308.1500,-5813386,-1544127,-2079523
318.1500,-5810167,-1543108,-2077285
328.1500,-5806881,-1542067,-2075019
338.1500,-5803532,-1541006,-2072727
348.1500,-5800125,-1539927,-2070410
358.1500,-5796663,-1538830,-2068071
368.1500,-5793148,-1537717,-2065710
378.1500,-5789586,-1536588,-2063329
388.1500,-5785977,-1535446,-2060929
398.1500,-5782324,-1534290,-2058511
408.1500,-5778630,-1533122,-2056076
418.1500,-5774897,-1531942,-2053624
428.1500,-5771127,-1530751,-2051157
438.1500,-5767321,-1529549,-2048676
448.1500,-5763481,-1528338,-2046181
458.1500,-5759608,-1527117,-2043672
468.1500,-5755705,-1525887,-2041151
478.1500,-5751772,-1524648,-2038618
488.1500,-5747810,-1523402,-2036073
498.1500,-5743821,-1522147,-2033518
508.1500,-5739806,-1520885,-2030951
518.1500,-5735766,-1519616,-2028375
528.1500,-5731701,-1518340,-2025788
538.1500,-5727613,-1517058,-2023192
548.1500,-5723502,-1515769,-2020588
558.1500,-5719370,-1514475,-2017974
568.1500,-5715216,-1513174,-2015352
578.1500,-5711042,-1511868,-2012722
588.1500,-5706849,-1510556,-2010084
598.1500,-5702636,-1509240,-2007439
608.1500,-5698405,-1507918,-2004786
618.1500,-5694156,-1506591,-2002126
628.1500,-5689890,-1505260,-1999460
638.1500,-5685607,-1503924,-1996787
648.1500,-5681308,-1502583,-1994107
658.1500,-5676993,-1501239,-1991421
668.1500,-5672662,-1499890,-1988729
678.1500,-5668316,-1498537,-1986032
688.1500,-5663956,-1497180,-1983328
698.1500,-5659582,-1495819,-1980620
708.1500,-5655193,-1494455,-1977905
718.1500,-5650792,-1493087,-1975186
728.1500,-5646377,-1491715,-1972462
738.1500,-5641949,-1490340,-1969732
748.1500,-5637509,-1488962,-1966998
758.1500,-5633056,-1487580,-1964260
768.1500,-5628592,-1486195,-1961516
778.1500,-5624116,-1484807,-1958769
788.1500,-5619628,-1483416,-1956017
798.1500,-5615130,-1482022,-1953261
808.1500,-5610620,-1480625,-1950501
818.1500,-5606100,-1479225,-1947736
828.1500,-5601570,-1477822,-1944968
838.1500,-5597029,-1476417,-1942196
848.1500,-5592479,-1475008,-1939421
858.1500,-5587918,-1473598,-1936642
868.1500,-5583348,-1472184,-1933859
878.1500,-5578769,-1470768,-1931073
888.1500,-5574180,-1469350,-1928283
898.1500,-5569583,-1467929,-1925490
908.1500,-5564976,-1466505,-1922694
918.1500,-5560361,-1465079,-1919895
928.1500,-5555738,-1463651,-1917093
938.1500,-5551106,-1462221,-1914287
948.1500,-5546466,-1460788,-1911479
958.1500,-5541818,-1459353,-1908668
968.1500,-5537162,-1457916,-1905854
978.1500,-5532498,-1456477,-1903037
988.1500,-5527826,-1455035,-1900218
998.1500,-5523147,-1453592,-1897395
1008.150,-5518461,-1452146,-1894571
1018.150,-5513767,-1450699,-1891743
1028.150,-5509067,-1449249,-1888914
1038.150,-5504359,-1447798,-1886081
1048.150,-5499644,-1446344,-1883247
1058.150,-5494923,-1444889,-1880410
1068.150,-5490195,-1443431,-1877571
1078.150,-5485460,-1441972,-1874729
1088.150,-5480719,-1440511,-1871885
1098.150,-5475972,-1439048,-1869039
1108.150,-5471218,-1437583,-1866191
1118.150,-5466458,-1436117,-1863341
1128.150,-5461692,-1434648,-1860489
1138.150,-5456920,-1433178,-1857635
1148.150,-5452142,-1431707,-1854778
1158.150,-5447359,-1430233,-1851920
1168.150,-5442569,-1428758,-1849060
1178.150,-5437774,-1427281,-1846198
1188.150,-5432974,-1425803,-1843334
1198.150,-5428168,-1424322,-1840469
1208.150,-5423356,-1422841,-1837601
1218.150,-5418539,-1421357,-1834732
1228.150,-5413717,-1419872,-1831862
1238.150,-5408890,-1418386,-1828989
1248.150,-5404057,-1416898,-1826115
1258.150,-5399220,-1415408,-1823239
1268.150,-5394377,-1413917,-1820362
1278.150,-5389530,-1412424,-1817483
1288.150,-5384678,-1410930,-1814602
1298.150,-5379821,-1409435,-1811720
1308.150,-5374959,-1407937,-1808837
1318.150,-5370092,-1406439,-1805952
1328.150,-5365221,-1404939,-1803065
1338.150,-5360345,-1403437,-1800177
1348.150,-5355465,-1401934,-1797288
1358.150,-5350580,-1400430,-1794398
1368.150,-5345691,-1398924,-1791506
1378.150,-5340798,-1397417,-1788612
1388.150,-5335900,-1395909,-1785718
1398.150,-5330998,-1394399,-1782822
1408.150,-5326092,-1392888,-1779925
1418.150,-5321181,-1391375,-1777026
1428.150,-5316267,-1389861,-1774127
1438.150,-5311349,-1388346,-1771226
1448.150,-5306426,-1386829,-1768324
1458.150,-5301500,-1385312,-1765421
1468.150,-5296569,-1383792,-1762516
