      T(K)       ,menz_v(J/mol/bar)   ,vic_v(J/mol/bar)   ,rom_v(J/mol/bar)   
298.1500,8.317580,2.657866,3.977799
308.1500,8.318465,2.658351,3.978529
318.1500,8.319370,2.658847,3.979275
328.1500,8.320292,2.659354,3.980036
338.1500,8.321233,2.659869,3.980811
348.1500,8.322190,2.660395,3.981601
358.1500,8.323164,2.660929,3.982404
368.1500,8.324153,2.661471,3.983220
378.1500,8.325156,2.662022,3.984048
388.1500,8.326174,2.662581,3.984888
398.1500,8.327206,2.663147,3.985739
408.1500,8.328251,2.663720,3.986601
418.1500,8.329309,2.664301,3.987474
428.1500,8.330379,2.664888,3.988358
438.1500,8.331461,2.665482,3.989251
448.1500,8.332554,2.666083,3.990153
458.1500,8.333659,2.666689,3.991065
468.1500,8.334774,2.667302,3.991986
478.1500,8.335900,2.667920,3.992916
488.1500,8.337036,2.668544,3.993854
498.1500,8.338182,2.669173,3.994800
508.1500,8.339337,2.669808,3.995755
518.1500,8.340502,2.670448,3.996717
528.1500,8.341675,2.671092,3.997686
538.1500,8.342858,2.671742,3.998663
548.1500,8.344049,2.672397,3.999647
558.1500,8.345248,2.673056,4.000638
568.1500,8.346455,2.673719,4.001636
578.1500,8.347670,2.674387,4.002640
588.1500,8.348893,2.675059,4.003651
598.1500,8.350123,2.675736,4.004668
608.1500,8.351361,2.676417,4.005692
618.1500,8.352605,2.677101,4.006721
628.1500,8.353857,2.677790,4.007756
638.1500,8.355116,2.678482,4.008797
648.1500,8.356381,2.679178,4.009844
658.1500,8.357653,2.679878,4.010896
668.1500,8.358931,2.680581,4.011954
678.1500,8.360215,2.681288,4.013016
688.1500,8.361506,2.681998,4.014084
698.1500,8.362802,2.682712,4.015158
708.1500,8.364105,2.683429,4.016236
718.1500,8.365413,2.684149,4.017319
728.1500,8.366726,2.684872,4.018406
738.1500,8.368046,2.685599,4.019499
748.1500,8.369370,2.686328,4.020596
758.1500,8.370700,2.687061,4.021697
768.1500,8.372036,2.687797,4.022803
778.1500,8.373376,2.688535,4.023914
788.1500,8.374721,2.689276,4.025029
798.1500,8.376072,2.690021,4.026148
808.1500,8.377427,2.690767,4.027271
818.1500,8.378787,2.691517,4.028398
828.1500,8.380152,2.692269,4.029529
838.1500,8.381521,2.693024,4.030664
848.1500,8.382895,2.693782,4.031803
858.1500,8.384273,2.694542,4.032946
868.1500,8.385656,2.695305,4.034093
878.1500,8.387043,2.696070,4.035243
888.1500,8.388434,2.696837,4.036398
898.1500,8.389830,2.697607,4.037555
908.1500,8.391229,2.698379,4.038717
918.1500,8.392633,2.699154,4.039881
928.1500,8.394041,2.699931,4.041050
938.1500,8.395452,2.700710,4.042221
948.1500,8.396868,2.701492,4.043396
958.1500,8.398287,2.702275,4.044575
968.1500,8.399711,2.703061,4.045757
978.1500,8.401137,2.703849,4.046941
988.1500,8.402568,2.704639,4.048130
998.1500,8.404002,2.705431,4.049321
1008.150,8.405440,2.706226,4.050515
1018.150,8.406881,2.707022,4.051713
1028.150,8.408326,2.707820,4.052913
1038.150,8.409774,2.708621,4.054117
1048.150,8.411226,2.709423,4.055323
1058.150,8.412681,2.710227,4.056533
1068.150,8.414139,2.711034,4.057745
1078.150,8.415601,2.711842,4.058960
1088.150,8.417065,2.712652,4.060178
1098.150,8.418533,2.713464,4.061399
1108.150,8.420004,2.714277,4.062623
1118.150,8.421479,2.715093,4.063849
1128.150,8.422956,2.715910,4.065078
1138.150,8.424436,2.716729,4.066310
1148.150,8.425919,2.717550,4.067544
1158.150,8.427406,2.718373,4.068781
1168.150,8.428895,2.719197,4.070021
1178.150,8.430387,2.720023,4.071263
1188.150,8.431882,2.720851,4.072508
1198.150,8.433380,2.721681,4.073755
1208.150,8.434881,2.722512,4.075005
1218.150,8.436384,2.723344,4.076257
1228.150,8.437890,2.724179,4.077512
1238.150,8.439399,2.725015,4.078769
1248.150,8.440911,2.725852,4.080029
1258.150,8.442425,2.726692,4.081291
1268.150,8.443942,2.727532,4.082555
1278.150,8.445461,2.728375,4.083822
1288.150,8.446983,2.729219,4.085090
1298.150,8.448508,2.730064,4.086362
1308.150,8.450035,2.730911,4.087635
1318.150,8.451565,2.731759,4.088911
1328.150,8.453097,2.732609,4.090189
1338.150,8.454632,2.733460,4.091469
1348.150,8.456169,2.734313,4.092752
1358.150,8.457708,2.735167,4.094036
1368.150,8.459250,2.736023,4.095323
1378.150,8.460794,2.736880,4.096612
1388.150,8.462341,2.737739,4.097903
1398.150,8.463890,2.738599,4.099196
1408.150,8.465441,2.739460,4.100492
1418.150,8.466994,2.740323,4.101789
1428.150,8.468550,2.741187,4.103089
1438.150,8.470108,2.742052,4.104390
1448.150,8.471668,2.742919,4.105694
1458.150,8.473231,2.743787,4.106999
1468.150,8.474796,2.744657,4.108307
