      P(bar)     ,menz_v(J/mol/bar)   ,vic_v(J/mol/bar)   ,rom_v(J/mol/bar)   
1.000000,8.317580,2.657866,3.977799
501.0000,8.315509,2.657359,3.976777
1001.000,8.313441,2.656853,3.975757
1501.000,8.311375,2.656347,3.974737
2001.000,8.309728,2.655841,3.973918
2501.000,8.307667,2.655469,3.972901
3001.000,8.305609,2.654964,3.971886
3501.000,8.303553,2.654460,3.970872
4001.000,8.301500,2.653956,3.969859
4501.000,8.299450,2.653453,3.968847
5001.000,8.297402,2.652951,3.967837
5501.000,8.295356,2.652448,3.966828
6001.000,8.293313,2.651947,3.965820
6501.000,8.291273,2.651445,3.964814
7001.000,8.289235,2.650945,3.963809
7501.000,8.287199,2.650444,3.962805
8001.000,8.285167,2.649944,3.961802
8501.000,8.283136,2.649445,3.960801
9001.000,8.281108,2.648946,3.959801
9501.000,8.279083,2.648448,3.958802
10001.00,8.277060,2.647950,3.957804
10501.00,8.275039,2.647452,3.956808
11001.00,8.273021,2.646955,3.955813
11501.00,8.271006,2.646459,3.954819
12001.00,8.268992,2.645962,3.953827
12501.00,8.266982,2.645467,3.952835
13001.00,8.264973,2.644972,3.951845
13501.00,8.262968,2.644477,3.950857
14001.00,8.260964,2.643983,3.949869
14501.00,8.258963,2.643489,3.948883
15001.00,8.256965,2.642996,3.947898
15501.00,8.254969,2.642503,3.946914
16001.00,8.252975,2.642010,3.945931
16501.00,8.250984,2.641518,3.944950
17001.00,8.248995,2.641027,3.943969
17501.00,8.247008,2.640536,3.942990
18001.00,8.245024,2.640045,3.942012
18501.00,8.243042,2.639555,3.941036
19001.00,8.241063,2.639066,3.940061
19501.00,8.239086,2.638576,3.939086
20001.00,8.237111,2.638088,3.938113
20501.00,8.235139,2.637599,3.937142
21001.00,8.233169,2.637111,3.936171
21501.00,8.231202,2.636624,3.935202
22001.00,8.229237,2.636137,3.934233
22501.00,8.227274,2.635650,3.933266
23001.00,8.225313,2.635164,3.932301
23501.00,8.223355,2.634679,3.931336
24001.00,8.221399,2.634194,3.930373
24501.00,8.219446,2.633709,3.929410
25001.00,8.217495,2.633225,3.928449
25501.00,8.215546,2.632741,3.927489
26001.00,8.213599,2.632257,3.926531
26501.00,8.211655,2.631775,3.925573
27001.00,8.209713,2.631292,3.924617
27501.00,8.207773,2.630810,3.923661
28001.00,8.205836,2.630328,3.922707
28501.00,8.203901,2.629847,3.921754
29001.00,8.201968,2.629366,3.920803
29501.00,8.200037,2.628886,3.919852
