Temperature (ºC);a(A);b(A);c(A);V(A3)
25;8.790(1);5.840(1);13.133(2);674.1(1)
50;8.788(2);5.840(1);13.138(2);674.3(2)
80;8.794(2);5.845(1);13.143(2);675.5(2)
110;8.795(2);5.849(1);13.145(2);676.2(2)
140;8.796(2);5.850(1);13.150(2);676.7(2)
170;8.800(2);5.852(1);13.154(2);677.3(2)
200;8.806(1);5.853(1);13.157(2);678.2(1)
230;8.807(1);5.856(1);13.160(2);678.7(2)
260;8.811(1);5.858(1);13.163(2);679.3(2)
290;8.814(2);5.860(1);13.168(2);680.1(2)
320;8.813(2);5.863(1);13.170(2);680.4(2)
350;8.829(2);5.863(1);13.167(3);681.6(2)
380;8.826(2);5.865(1);13.170(2);681.7(2)
410;8.827(2);5.867(1);13.178(3);682.5(2)
440;8.830(2);5.868(1);13.179(2);682.9(2)
470;8.833(2);5.870(1);13.184(2);683.6(2)
500;8.835(3);5.871(2);13.190(3);684.1(2)
530;8.835(3);5.875(1);13.193(3);684.8(2)
560;8.841(3);5.872(2);13.210(3);685.8(3)
590;8.848(3);5.869(2);13.201(4);685.5(3)
